dataset,run_directory,kernel,requested_epoch,source_validation_index,layer_i,layer_j,similarity
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,2,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,3,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,4,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,5,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,6,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,7,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,8,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,1,0.9999783412
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,2,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,3,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,4,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,5,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,6,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,7,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,8,8,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,1,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,2,0.2918590329
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,3,0.2789760062
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,4,0.2732642619
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,5,0.2947120044
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,6,0.2829167566
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,7,0.3304146125
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,1,8,0.2600538839
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,2,1,0.2918590329
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,2,2,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,2,3,0.3542096617
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,2,4,0.5875656609
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,100,100,2,5,0.5097339898
